job_title,job_link,label,company_name,city_name,post_time,country_name,job_type,Experience Needed:,Career Level:,Education Level:,Salary:,job_description,job_requirements,Gender:
iOS Developer,https://wuzzuf.net/jobs/p/SVNsSL41eulr-iOS-Developer-Epic-Systems-Giza-Egypt,mobile app,Epic Systems ,Haram,22 daysago,Egypt,Full Time,1 to 3 years,Experienced (Non-Manager),Not Specified,Confidential,"Design and build advanced applications for the iOS platform .Collaborate with cross-functional teams to define, design, and ship new features. .Unit-test code for robustness, including edge cases, usability, and general reliability. .Work on bug fixing and improving application performance. .Continuously discover, evaluate, and implement new technologies to maximize development efficiency.","BS/MS degree in Computer Science, Engineering or a related subjectProven working experience in software developmentWorking experience in iOS developmentHave published one or more iOS apps in the app storeA deep familiarity with Objective-C and Cocoa TouchExperience working with iOS frameworks such as Core Data, Core Animation, Core Graphics and Core TextExperience with third-party libraries and APIsWorking knowledge of the general mobile landscape, architectures, trends, and emerging technologiesSolid understanding of the full mobile development life cycle",
Senior Android Developer,https://wuzzuf.net/jobs/p/KpKqWfdHAUkx-Senior-Android-Developer-Fawry-for-Banking-Technology-and-Electronic-Payments-S-A-E-Giza-Egypt,mobile app,Fawry for Banking Technology and Electronic Payments S.A.E ,6th of October,17 daysago,Egypt,Full Time,4 to 8 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,"Build advanced applications for the Android platform .Work with outside data sources and APIs .Unit-test code for robustness, including edge cases, usability, and general reliability .Work on bug fixing and improving application performance .Continuously discover, evaluate, and implement new technologies to maximize development efficiency .Design and build advanced applications for the Android platform. .Collaborate with cross-functional teams to define, design, and ship new features. .Translate design documents into high-quality code.","Bachelor’s degree in computers and information or software engineering.Advanced knowledge of Java & Kotlin.Clean & readable code writing.Good understanding of OOP and SOLD principles.Proficiency with offline storage, threading and performance tuning.Conduct code reviews and Strong ability to dive deep into existing code and performs troubleshooting to identify root cause of issues.Good understanding of system, design pattern and architectural design.Effective analytical and problem-solving skills.Experience with the Gradle build system.Familiarity with version control.ITI graduates are preferred.Proven software development experience and Android skills developmentProven working experience in Android app development and (+1 year of experience)Experience with Android SDK.Experience working with remote data via REST and JSONExperience with third-party libraries and APIsSolid understanding of the full mobile development life cycle.Proven experience in developing high-quality Android appsA deep understanding of the Java, Kotlin Language.Knowledge of the open-source Android ecosystem and the libraries available for common tasks (RxJava2, Retrofit2, Kotlin, Dagger2)Strong knowledge of Android SDK, different versions of Android, and how to deal with different screen sizes.Solid understanding of the full mobile development life cycle.Familiarity with RESTful APIs to connect Android applications to back-end services.Strong knowledge of Android UI design principles, patterns, and best practices.Experience with offline storage, threading, and performance tuning.A good understanding of MVC, MVP & MVVM patterns.Knowledge of low-level C-based libraries is preferredStrong knowledge of SOLID principles and object-oriented programming concepts.Familiarity with functional, reactive programming.Familiarity with cloud message APIs and push notifications.Proficient understanding of code versioning tools, such as Git.Familiarity with continuous integration (Circle CI).Team worker.Initiative and passion.Years of experience From 4 - 8 years of experienceProblem-solving mindset",
Android Developer,https://wuzzuf.net/jobs/p/ZtNCP2oOnKRo-Android-Developer-Glamera-Cairo-Egypt,mobile app,Glamera ,Nasr City,22 daysago,Egypt,Full Time,2 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,"Translate designs and wire-frames into high-quality code. .Design, build and maintain high performance, reusable, and reliable Java code. .Ensure the best possible performance, quality, and responsiveness of the application. .Identify and correct bottlenecks and fix bugs. .Help maintain code quality, organization, and automatization .In-depth understanding of key Android Frameworks, data structures, algorithms and design patterns. .Excellent Experience with Java. .Proven Software development experience in Android app development and Have published at least one original Android app. .Experience developing multi-lingual applications. .Strong knowledge of Android SDK Familiarity with cloud message APIS and push notifications understanding of Google’s Android design principles and Material Design .","BS/MS degree in Computer Science, Engineering, or a related subject.Proven software development experience and Android skills development.Proven working experience in Android app development and have published at least one original Android app.Experience in the entire app life cycle concept, design, build, deploy, test, and release to Play Store.Excellent in mobile app performance and security techniques and updates.Experience integrating with third-party SDK and server-side API.Familiar with agile methodologies.Experience with Android SDKExperience working with remote data via REST and JSONExperience with third-party libraries and APIsWorking knowledge of the general mobile landscape, architectures, trends, and emerging technologiesSolid understanding of the full mobile development life cycle",
Flutter team lead,https://wuzzuf.net/jobs/p/e5mvet9MZ32E-Flutter-team-lead-Kian-Alraqmih-Dakahlia-Egypt,mobile app,Kian Alraqmih ,Mansoura,2 monthsago,Egypt,Full Time,5 to 7 years,Manager,Not Specified,Confidential,"Work with our technical leaders to set out a vision for our mobile engineering. .Design and build advanced applications for the Android/iOS platform. .Work with cross-functional teams to define, design, and ship new features. .Responsible for supervising, managing and motivating the mobile development team. .Coach, guide and mentor mobile developers to grow into their work. .Work with outside data sources and APIs. .Work on bug fixing and improving application performance .Continuously discover, evaluate, and implement new technologies to maximize development efficiency. .Work with project managers on estimating the feasibility and complexity of new products/features. .Participate in the planning process for software development projects, and ensure meeting quality and deadlines on delivery. .Design the architecture of new products/features. .Provide best practices and make sure they are respected. .Implement the quality assurance processes. .Ensure delivering the required software quality and reliability of the entire team's output.","6+ years of experience in Mobile Development.2+ years of experience as a Mobile Development Team Leader.Bachelor Degree in Computer Science or Software Engineering.You have experience working on a number of mobile apps, preferably apps with scale.Portfolio, GitHub (or another open-source account), list of published works is a plusExcellent analytical and problem-solving skills.Strong leadership and people management skills.Helping people get better at their jobs makes you happyHigh level of working English is required",
Senior Flutter Developer,https://wuzzuf.net/jobs/p/ohfDr6qvHADZ-Senior-Flutter-Developer-DEVOPSOLUTION-Cairo-Egypt,mobile app,DEVOPSOLUTION ,Nasr City,2 monthsago,Egypt,Full Time,More than 4 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,"Design, Build and develop sophisticated and highly scalable mobile apps using Flutter. .Build custom packages in Flutter using the functionalities and APIs already available in native Android and IOS. .Take ownership of the preparation, production, and timely release of the applications. .Ensure the performance, quality, and responsiveness of applications. .Continuously discover, evaluate, and implement new technologies to maximize development efficiency. .Work with outside data sources and APIs. .Follow the best practices while developing the app and also keeping everything structured and well documented. .Run functionality testing and debug code.","Qualifications:5 + Years of experience in mobile development .Experience:+ 3 years in Flutter Development.Experience in Flutter APIs and Capabilities.Experience in offline storage, threading, and performance tuning.Experience in programming SQL databases.Experience with REST/SOAP services integration.Skills with a proven track record of the well-engineered design.Experience in Git source control.Experience in Agile Development Methodologies and object-oriented design techniques and principles.Skills:Excellent written and verbal communication.Teamwork and problem-solving skills, with the ability to interact and communicate successfully with business partners and development teams.Strong analytical and estimation skills with the ability to quickly debug application problems and provide short & to long-term solutions.",
Senior Flutter Developer-Part Time,https://wuzzuf.net/jobs/p/syN4fCo1DIwW-Senior-Flutter-Developer-Part-Time-RDI-Giza-Egypt,mobile app,RDI ,Dokki,2 monthsago,Egypt,Part Time,More than 3 years,Experienced (Non-Manager),Not Specified,Confidential,"Create well designed, testable, efficient code .Participate in all phases of the development life-cycle .Assist in the preparation and production of releases of software components .Ensure designs are in compliance with specifications .Independently craft project solutions by applying solid Object-Oriented-Design principles. .Ensure the performance, quality, and responsiveness of applications. .Develop customer specific solutions and extend our own track & trace software Products .Follow established development best practices, unit test conventions and teams coding style .Follow the best practices while developing the app and also keeping everything structured and well documented. .Use CI/CD for smooth deployment. .Document the project and code efficiently. .Manage the code and project on Git in order to keep in sync with other team members and managers. .Communicate with the Project Manager regarding status of projects and suggest appropriate deadlines for new functionalities. .Ensure security guidelines are always followed while developing the app. .Validate the cloud system to ensure any new changes do not compromise security of the backend server. .Connect regularly with the Quality Assurance Specialist to deliver a stable app. .Resolve all the bugs reported by the Quality Assurance Specialist in a timely manner. .Perform time profiling and memory leaks assessment. .Execute app verification protocol. .Write tests for the App. .Following company policies and quality procedures to ensure quality product deliverables.","Must Have:Native Android and IOS: To build custom Flutter Packages.Flutter: To build cross platform mobile apps for Android, IOS and Web. This should include from making responsive UIs to efficiently query data and also manage states in an optimized manner.Firebase: Should have experience with Cloud Firestore, Push Notifications, Cloud Functions and Analytics.Git: To manage and collaborate in different projects with the rest of the team.Preferred Experience:3+ years of experience working with mobile development1-2 years experience in Flutter DevelopmentMust show your previous work.Experience in Flutter Development .Published  at least 3 apps with flutterPublished at least 1 app with android and ios is a bonus.Have experience with Flutter for both iOS and Android.Familiarity with RESTful APIsExcellent in Design pattern and architecture pattern .Knowledge of modern authorization mechanisms.",
Flutter Developer,https://wuzzuf.net/jobs/p/NityBi9Ja0zk-Flutter-Developer-Giza-Egypt,mobile app,Confidential ,Sheikh Zayed,2 monthsago,Egypt,Full Time,More than 3 years,Experienced (Non-Manager),Bachelor's Degree,10000 to 15000 EGP Per Month,"Design and Build sophisticated and highly scalable apps using Flutter. .Build custom packages in Flutter using the functionalities and APIs already available in native Android and IOS. .Ensure the performance, quality, and responsiveness of applications. .Continuously discover, evaluate, and implement new technologies to maximize development efficiency. .Follow the best practices while developing the app and also keeping everything structured and well documented.","Qualifications:Experience: 1- 2 years in Flutter Development.Experience: at least 3 years in Mobile Development.Familiarity with RESTful APIs.Excellent in design patterns and architecture patterns.Use CI/CD for smooth deployment and DevOps is a plus.Write tests for the App.Understanding of Human Interface Guidelines- Apple Developer.Understanding of Material design Guidelines - Android Developers.Published at least 2 apps with flutter.Skills:Good communication skills.Strong problem-solving skills.Team worker.Highly motivated.Initiative and passion.Very comfortable learning new technologies, tools, and platforms.",
Flutter Developer,https://wuzzuf.net/jobs/p/V545XDFXwGnO-Flutter-Developer-Osolutions-Cairo-Egypt,mobile app,Osolutions ,Nasr City,1 dayago,Egypt,Full Time,2 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,"Lead and collaborate with cross-functional teams to develop, test, and deploy Flutter applications. .Design and implement efficient, reusable, and reliable code for mobile platforms. .Optimize app performance and ensure responsiveness across various devices. .Integrate external APIs and third-party libraries for enhanced functionality. .Debug and resolve technical issues, ensuring a smooth user experience. .Stay updated with the latest industry trends and emerging Flutter technologies. .Mentor and provide guidance to junior developers, fostering a collaborative work environment.","Proven experience in Flutter development with a portfolio of successful projects.Strong proficiency in Dart programming language.Expertise in UI/UX design principles and mobile app architecture.Proficient with version control systems (e.g., Git).Familiarity with RESTful APIs and integration of third-party libraries.Excellent problem-solving and debugging skills.Leadership experience or demonstrated ability to lead development teams.",
Senior UI/UX Designer (Nasr city),https://wuzzuf.net/jobs/p/AH5HQAnwiayH-Senior-UIUX-Designer-Nasr-city-Cairo-Egypt,mobile app,Confidential ,Nasr City,16 daysago,Egypt,Full Time,More than 3 years,Experienced (Non-Manager),Not Specified,Confidential,Design user interface for web and mobile applications. .Rapid prototyping of design concept and user interface. .Translate concepts into wire-frames and mock-ups that lead to intuitive and friendly user experiences. .Creates template pages and interface screens. .Identify UI/UX problems and recommend effective solutions. .Other duties as assigned.,"+3 years of extensive work experience.Extensive experience in UI design, ideally for desktop web applications and mobile apps (tablets and phones).Excellent experience in Adobe Creative Products preferably Photoshop, Illustrator,xd.Excellent experience (Balsamiq, axure RP, mockflow or similar) is a plus.Strong UI/UX design skills and understanding.Solid understanding of current trends and UI design patterns.Hands-on Experience in Responsive Design.Good time-management skills.",
Lead UI/UX Designer,https://wuzzuf.net/jobs/p/44Qw6VRoxwCq-Lead-UIUX-Designer-Abdullah-Abdulghani-Bros-Co-AAB-Doha-Qatar,mobile app,Abdullah Abdulghani & Bros.Co. (AAB) ,Doha,9 daysago,Qatar,Full Time,More than 10 years,Experienced (Non-Manager),Not Specified,Confidential,"User Experience Design:Lead the design of intuitive and user-centered interfaces across our digital platforms.Utilize design thinking principles to solve complex design challenges and create seamless user experiences.Conduct user research, create user personas, and map user journeys to understand and address user needs. .Lead the design of intuitive and user-centered interfaces across our digital platforms. .Utilize design thinking principles to solve complex design challenges and create seamless user experiences. .Conduct user research, create user personas, and map user journeys to understand and address user needs. .Collaboration and Leadership:Collaborate with cross-functional teams, including product managers, engineers, and marketers, to integrate user experience into product development.Lead and mentor a team of UI/UX designers, fostering a culture of creativity and continuous learning.Present design concepts and strategies to stakeholders, effectively communicating design rationale. .Collaborate with cross-functional teams, including product managers, engineers, and marketers, to integrate user experience into product development. .Lead and mentor a team of UI/UX designers, fostering a culture of creativity and continuous learning. .Present design concepts and strategies to stakeholders, effectively communicating design rationale. .Design Execution and Innovation:Develop and maintain design wireframes, mockups, and specifications as needed.Ensure consistency in design across all product touchpoints while pushing the boundaries of innovation and creativity.Stay abreast of the latest trends and technologies in UI/UX design, incorporating new ideas and approaches into design practices. .Develop and maintain design wireframes, mockups, and specifications as needed. .Ensure consistency in design across all product touchpoints while pushing the boundaries of innovation and creativity. .Stay abreast of the latest trends and technologies in UI/UX design, incorporating new ideas and approaches into design practices. .User Testing and Feedback:Implement user testing methodologies to gather feedback and iterate on design solutions.Analyze user feedback and activity, and iterate to enhance the user experience.Work closely with the analytics team to understand user behavior and validate design decisions. .Implement user testing methodologies to gather feedback and iterate on design solutions. .Analyze user feedback and activity, and iterate to enhance the user experience. .Work closely with the analytics team to understand user behavior and validate design decisions. .Brand Consistency:Ensure that all designs align with the brand's standards and overall business strategy.Collaborate with the marketing team to ensure a consistent brand experience across all user touchpoints. .Ensure that all designs align with the brand's standards and overall business strategy. .Collaborate with the marketing team to ensure a consistent brand experience across all user touchpoints.","Skills
Qualifications:

Bachelor's degree in Design, Human-Computer Interaction, or a related field.
Minimum 10+ years of experience in UI/UX design, with a portfolio that demonstrates expertise in user experience and design thinking.
Proficiency in design tools such as Sketch, Adobe Creative Suite, Figma, or similar.
Strong understanding of responsive design, web and mobile app design, and usability principles.
Excellent leadership, communication, and collaboration skills.
Experience conducting user research and usability testing.
Ability to work in a fast-paced, dynamic environment.",
ADF Developer,https://wuzzuf.net/jobs/p/1DRLc8hFMD26-ADF-Developer-Economic-Group-Qalubia-Egypt,mobile app,Economic Group  ,Qaha,22 daysago,Egypt,Full Time,3 to 7 years,Experienced (Non-Manager),Not Specified,Confidential,"Design and build advanced applications for the Android platform .Collaborate with cross-functional teams to define, design, and ship new features .Work with outside data sources and APIs .Unit-test code for robustness, including edge cases, usability, and general reliability .Work on bug fixing and improving application performance .Continuously discover, evaluate, and implement new technologies to maximize development efficiency","BS/MS degree in Computer Science, Engineering or a related subjectProven software development experience and Android skills developmentProven working experience in Android app development andHave published at least one original Android appExperience with Android SDKExperience working with remote data via REST and JSONExperience with third-party libraries and APIsWorking knowledge of the general mobile landscape, architectures, trends, and emerging technologiesSolid understanding of the full mobile development life cycle.",
Senior React Native Developer,https://wuzzuf.net/jobs/p/m2hWBt3mplUW-Senior-React-Native-Developer-Softxpert-Incorporation-Alexandria-Egypt,mobile app,Softxpert Incorporation  ,Alexandria,16 daysago,Egypt,Full Time,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,"Develop React Native applications for both iOS and Android. .Create UI Screen and Modules in both IOS and Android and integrate with React Native application. .Produce bug, pixel-free and secure apps. .Translate business requirements into software solutions in a business-effective way.","Knowledge:+3  years of experience as a React Native developerBachelor's degree in Software Engineering or related field, or relevant experience.Solid experience with working in an environment where products have to be delivered to specific time-scalesKnowledge of React Native framework.Knowledge of UI/UX standards for mobile apps.Ability to write well-documented, clean code.Familiarity with RESTful APIs.Familiarity with native build tools, like XCode, Android Studio, Gradle, ..etcSkills:Excellent communication skillsLeadership SkillsExcellent problem solving and analytical skills",
Senior Flutter Developer,https://wuzzuf.net/jobs/p/KkksIkUho7M8-Senior-Flutter-Developer-waffarha-com-Cairo-Egypt,mobile app,waffarha.com ,Downtown,4 daysago,Egypt,Full Time,4 to 6 years,Experienced (Non-Manager),Not Specified,Confidential,"Flutter App Development:Lead the development of cross-platform mobile applications using the Flutter framework.Collaborate with the design team to translate UI/UX design wireframes into high-quality code.Ensure the performance, quality, and responsiveness of applications. .Lead the development of cross-platform mobile applications using the Flutter framework. .Collaborate with the design team to translate UI/UX design wireframes into high-quality code. .Ensure the performance, quality, and responsiveness of applications. .Code Review and Mentoring:Conduct code reviews to ensure best practices and coding standards are followed.Provide guidance and mentorship to junior developers, fostering a collaborative and growth-oriented team environment. .Conduct code reviews to ensure best practices and coding standards are followed. .Provide guidance and mentorship to junior developers, fostering a collaborative and growth-oriented team environment. .Technical Leadership:Stay updated with the latest trends and advancements in Flutter development.Propose and implement new technologies to enhance the development process and improve application performance. .Stay updated with the latest trends and advancements in Flutter development. .Propose and implement new technologies to enhance the development process and improve application performance. .Collaboration:Work closely with cross-functional teams, including product managers, designers, and QA engineers, to deliver high-quality software solutions.Communicate effectively with team members and stakeholders to ensure alignment on project goals and timelines. .Work closely with cross-functional teams, including product managers, designers, and QA engineers, to deliver high-quality software solutions. .Communicate effectively with team members and stakeholders to ensure alignment on project goals and timelines. .Bug Fixing and Optimization:Identify and fix bugs and performance bottlenecks in the applications.Optimize applications for maximum speed and scalability. .Identify and fix bugs and performance bottlenecks in the applications. .Optimize applications for maximum speed and scalability. .Documentation:Create and maintain technical documentation for the developed applications.Document codebase, processes, and best practices to facilitate knowledge sharing within the team. .Create and maintain technical documentation for the developed applications. .Document codebase, processes, and best practices to facilitate knowledge sharing within the team.","Bachelor's degree in Computer Science, Engineering, or a related field.Proven experience as a Flutter Developer with a strong portfolio of mobile applications.Extensive experience in mobile app development, including both Android and iOS platforms.Proficient in Dart programming language and the Flutter framework.Strong understanding of the entire mobile development lifecycle.Experience with RESTful APIs and third-party libraries.Solid understanding of UI/UX principles and the ability to translate design concepts into code.Excellent problem-solving and debugging skills.Strong communication and teamwork skills.Proven ability to mentor and lead a development team.",Males preferred
ionic angular software developer,https://wuzzuf.net/jobs/p/m3BXPSEDLsaR-ionic-angular-software-developer-Smartad-egypt-Cairo-Egypt,mobile app,Smartad egypt ,Maadi,11 daysago,Egypt,Full Time,Not Specified,Experienced (Non-Manager),Not Specified,Confidential,,"Proven experience as a front-end developer, specifically with the Ionic framework.Strong proficiency in web technologies such as HTML, CSS, and JavaScript.Familiarity with Angular or React frameworks.Experience in consuming RESTful APIs and handling data in JSON format.Knowledge of mobile app development best practices and responsive design principles.Proficient understanding of version control systems, such as Git.Excellent problem-solving and analytical skills.Strong communication and collaboration skills.Ability to work in a fast-paced, dynamic environment and manage multiple tasks simultaneously.Bachelor's degree in Computer Science, Software Engineering, or a related field (preferred).",
Senior Flutter Developer,https://wuzzuf.net/jobs/p/YfHMHGlggoyx-Senior-Flutter-Developer-ثقة-الانجاز-Cairo-Egypt,mobile app,ثقة الانجاز wtheq ,New Cairo,18 daysago,Egypt,Full Time,More than 3 years,Experienced (Non-Manager),Bachelor's Degree,"Confidential, In Terms Of Compensation, We Offer Competitive Salaries In Either USD Or SAR, Medical, Social Insurance, And Transportation Allowance.","Building multi-platform applications for Android and iOS using the Flutter development framework .Ensuring consistency between the delivered product features and the requirements/criteria of the business. .Develop mobile applications for iOS and Android platforms using React Native or Swift. .Collaborate with cross-functional teams to gather requirements and design application architecture.Write clean, maintainable, and efficient code for mobile apps. .Conduct testing and debugging to ensure the functionality and performance of mobile applications.Integrate with backend services and APIs. .Stay updated with the latest mobile app development trends and best practices.","3+ years of experience.Bachelor’s degree in Computer science, or Computer Engineering or any relevant field is preferred.Very Good command of the English language.Very good Interpersonal skills, written, and verbal communication skills.Experience developing mobile applications for iOS and Android platforms using React Native or Swift.Proficiency in JavaScript, React Native, and related librariesKnowledge of mobile app development principles, including UI/UX, performance optimization, and security.Familiarity with RESTful APIs and integration of third-party libraries.Understanding of version control systems (e.g., Git).",
Senior Flutter Developer,https://wuzzuf.net/jobs/p/2XjHnJK7mYMM-Senior-Flutter-Developer-Giza-Egypt,mobile app,Confidential ,Haram,7 daysago,Egypt,Full Time,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,"Confidential, Medical Insurance  - Social Insurance   - Annual Leaves","We are seeking an experienced Senior Flutter Developer to join our dynamic team. As a Senior Flutter Developer, you will be responsible for creating and maintaining mobile applications using the Flutter framework. Your primary focus will be on developing high-quality, efficient, and reliable mobile applications that provide an exceptional user experience. You will collaborate with our cross-functional team to design and implement mobile solutions that meet our clients' needs.","Education:Bachelor's degree in Computer Science, Software Engineering, or a related field is preferred, but not mandatory. Proven work experience and expertise in Flutter development are highly valued.Experience:Minimum of 3-5 years of experience in mobile app development, with a strong focus on Flutter.A solid portfolio of Flutter applications that demonstrate your skills and capabilities.Skills:Proficiency in Flutter, Dart, and related technologies.Experience with mobile app development for both Android and iOS platforms.Knowledge of state management using packages like Provider or Bloc.Understanding of RESTful APIs and integration into mobile applications.Familiarity with Git and version control.Strong problem-solving and debugging skills.",
Senior Backend Developer with Machine Learning,https://wuzzuf.net/jobs/p/T98ubaqQlYqP-Senior-Backend-Developer-with-Machine-Learning-Simply-nikah-Cairo-Egypt,mobile app,Simply nikah ,Cairo,27 daysago,Egypt,Full Time,More than 3 years,Experienced (Non-Manager),Not Specified,Confidential,Job type:Full-time .Job set-up:Fully Remote .Location:Egypt .Compensation:Dependant on experience,"Experience and ExpertiseStrong proficiency in NestJS and its ecosystem.Good understanding and experience with Google FirebaseExperience with Flutter and understanding of how it integrates with backend services.In-depth knowledge of AWS services and cloud architecture principles.Experience in building and deploying machine learning models, especially with Google Vertex AI.Expertise in database management (NoSQL) specifically MongoDB.Proficient in developing and managing APIs (RESTful or GraphQL).Familiarity with security practices in backend development.Proven experience in implementing CI/CD and version control (Git).Excellent problem-solving and analytical skills.Strong communication and teamwork abilities.Eagerness to learn and adapt to new technologies and frameworks.Personal and Orginisational SkillsExcellent communication and collaboration skills to work effectively within a teamStrong problem-solving abilities and a proactive approach to troubleshootingAbility to manage time and prioritize tasks effectively to meet project deadlinesOpenness to receiving and providing constructive feedback, and adapting to changes in project requirementsExperience with JIRA",
Flutter Developer,https://wuzzuf.net/jobs/p/6aisn6aDglTr-Flutter-Developer-2CooM-Giza-Egypt,mobile app,2CooM ,6th of October,9 hoursago,Egypt,Full Time,0 to 3 years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,"Job Overview: .We are seeking a skilled Flutter Developer to join our dynamic development team. As a Flutter Developer, you will be responsible for designing and implementing high-performance mobile applications for both Android and iOS platforms. The ideal candidate should have a strong background in mobile application development, a deep understanding of the Flutter framework, and a passion for creating innovative and user-friendly applications. .Responsibilities: .You will be building and shipping robust apps to Android/ iOS devices using a single codebase. .You will be writing readable and clear code using Dart that will be extensively documented for future use and upgrades. .You will be sharing feedback and brainstorming ideas with teams to improve the development process. .Understand basic concepts of design for developing user-friendly applications. .Stay up to date with the latest technologies.","Experience in the development of Android/iOS applications and have deployed them on Google Play/App Store.1+ years of knowledge in mobile app development.understanding of front-end languages like HTML, CSS3 and JavaScript is a plus.knowledge of Python is a plusIn-depth understanding of Object-Oriented programming languages like Java and C++.Familiarity with version control tools like Git, Subversion, and IDEs like Android Studio, VS Code, etc.Understanding of RDMS, SQL, MySQL,Understanding of the Agile Software Development Life Cycle and being exposed to Scrum projects.Knowledge of Dart programming language, Rest APIs and integration of various APIs from third parties.Comfortable using test cases for debugging code, enhancing performance and reliability.",
Senior Laravel Developer,https://wuzzuf.net/jobs/p/4CTMy5MdC0AN-Senior-Laravel-Developer-Giza-Egypt,mobile app,Confidential ,Dokki,7 hoursago,Egypt,Full Time,2 to 10 years,Experienced (Non-Manager),Not Specified,Confidential,"work onsite. .Building backend APIs for web and mobile apps. .Write clean, structured, and well-documented code. .Integrate with third-parties and payment gateways. .Experience with HTML, Bootstrap, JavaScript, JQuery, and AJAX is a MUST. .Develop and deploy new features to facilitate related procedures and tools if necessaryCPanel / WHM",Have solid skills in object-oriented programming.Experience with  MVC frameworksGood knowledge of writing queries with good performance.,
Software Quality Assurance Engineer,https://wuzzuf.net/jobs/p/sNrXv4fheTkN-Software-Quality-Assurance-Engineer-Madar-Soft-Alexandria-Egypt,mobile app,Madar Soft ,Fleming,9 daysago,Egypt,Full Time,1 to 2 years,Entry Level (Junior Level / Fresh Grad),Not Specified,"Confidential, Medical & Social Insurance","Review Requirements and understand design of the system to be implemented .Reviewing software requirements and report gaps in SRS document. .Testing in different environments including web and mobile. .Providing objective feedback to software development project teams. .Experience with API testing tools (ex. Postman, Katalon Studio). .Design and write test cases .Implementing Functional testing. .Execute assigned test cases .Perform exploratory tests. .Report and Track bugs on bug tracking system “Jira”. .Log issues and tracks them until closure .Report test execution status to senior/lead .Ability to understand new testing techniques, technologies, & tools","BS/MS degree in Computer Science, Engineering or any related subject.Females only due to the nature of the work required.ISTQB-Foundation level certification (is a must).ASTQB Mobile Tester (is a plus).Has good communication skills, adapt and working inside a team.Familiar with using both Android & IOS platforms.Familiar with using both Windows & Mac OS.Well performing using PTT like “Jira”.The main thread of working is for native mobile apps (Android & iOS).Strong knowledge of SDLC, QA methodologies and testing processes.Knows about working in an Agile/Scrum development process.Has the ability to differentiate between usability and performance issues.At least know one OOP language (preferable Java).",
"UX Designer, MENA Product Team",https://wuzzuf.net/jobs/p/Oce3W8pE8zM9-UX-Designer-MENA-Product-Team-Amazon-MENA-Dubai-United-Arab-Emirates,mobile app,Amazon MENA ,Dubai,9 daysago,United Arab Emirates,Full Time,Not Specified,Not specified,Not Specified,Confidential,"DESCRIPTION . .This role is part of the MENA UX Design/Research team. Amazon is seeking a creative, thoughtful and customer-obsessed user experience designer to help us define the future of Shopping Experience in the MENA region and with a goal to make the Amazon app the most locally loved app in this region. . .Your primary focus will be to create elegant and customer-focused designs that provide a superior customer experience working in close collaboration with business, product, technology, and design teams across locations. . .You will get the opportunity to own comprehensive end-to-end experiences, work across Amazon services and infrastructure yet provide locally relevant presentations of expansive content and functionality. The job requires you to completely understand he MENA customers and their online behavior and create new or modify existing Amazon experiences to suit their needs. . . . .Responsibilities: .- Design a superior customer experience. . .- Define and achieve holistic product objectives. . .- Collaborate with cross-functional teams like product managers, developers, and designers. . .- Develop and provide thought leadership in the Shopping experiences across devices. . .- Leverage available insights like market analysis, customer feedback, site metrics, and usability findings. . .- Advocate for the customer and user-centered design in a corporate environment. . .- Develop conceptual diagrams, wireframes, detailed visual mockups and prototypes. . .- Communicate high-level design strategies and detailed interaction behaviors. . .- Develop and maintain effective specifications and design patterns. . .- Provide mentorship for designers and interns.","Skills
BASIC QUALIFICATIONS- 5+ years of design experience- 3+ years of delivering design solutions as a UX designer or interaction designer experience- Have an available online portfolio- Experience prototyping (HTML, XHTML, JavaScript, CSS, Flash or Flash Catalyst, or Axure)PREFERRED QUALIFICATIONS- 2+ years of mass-market consumer web / mobile products experience- Experience working in a collaborative team and working directly with developers for implementation of designs",
Senior Software Engineer/Senior Technical Software Engineer (Oracle ERP),https://wuzzuf.net/jobs/p/1HCjlxqOD0m5-Senior-Software-EngineerSenior-Technical-Software-Engineer-Oracle-ERP-Emirates-Airlines-Aggregated-Cairo-Egypt,mobile app,Emirates Airlines ,Cairo,7 daysago,Egypt,Full Time,Not Specified,Experienced (Non-Manager),Not Specified,Confidential,,"Skills
Role Requirements 

· A degree or Honours (12+3 or equivalent) in a relevant field such as Computer Science, Computational Mathematics, Computer Engineering or Software Engineering. 
· Proficiency in Oracle application framework (OAF)/ Oracle Integrated Service gateway/ Oracle Access manager and Java/ JavaScript. 
· Proficiency with mobile app development on Oracle Apps. 
· Proficiency with writing automated tests for mobile apps. 
· Proficiency with RESTful APIs and mobile libraries for networking and JSON format. 
· Deep knowledge of Android and iOS platforms. 
· Extensive knowledge about mobile app development. This includes the whole process, from the first line of code to publishing in the store(s). 
· Strong knowledge of architectural patterns—MVP, MVC, MVVM, and Clean Architecture—and the ability to choose the best solution for the app. 
· Familiarity with Git. 
· Familiarity with push notifications. 
· Understanding mobile app design guidelines on each platform and being aware of their differences.",
